ID,SMILES,pIC50,Set
91,COc1ccc(Sc2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,5.823330452344347,Train
92,CS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2ccccc2)cc1,9.4438785307071,Train
93,C#CCSc1ccccc1OC(C)=O,4.6020599913279625,Train
94,CCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,7.301029995663981,Train
95,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1CO,6.147520006363143,Train
96,CCOP(=O)(OCC)C(NC(=O)c1cc(-c2ccsc2)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccc(Cl)cc1,6.657577319177793,Train
97,CC(C)(C)c1cc(-c2nnc(N=C(N)N)o2)cc(C(C)(C)C)c1O,4.638272163982407,Train
98,CSc1ccc(-c2cc(CC3CCCC3=O)ccc2C(C)C(=O)[O-])cc1,3.823908740944319,Train
99,CC(C)(C)c1cc(/C=C2\SC(=O)NC2=O)cc(C(C)(C)C)c1O,5.327902142064282,Train
100,Cc1c(C(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,6.920402953422224,Train
101,CS(=O)(=O)c1ccc(-c2nc(NCc3cc4ccccc4s3)cc(C(F)(F)F)n2)cc1,6.532539890492736,Train
102,O=C(/N=c1\scc(-c2ccc(C(F)(F)F)cc2)n1-c1ccccc1)c1cccs1,7.045757490560675,Train
103,Cc1cc(C)c2c(=O)n(CCC(=O)N3CCN(c4cccc(Cl)c4)CC3)sc2n1,3.4705841391649845,Train
104,CC(C)(C)c1cc(-c2nsc(O)n2)cc(C(C)(C)C)c1O,5.958607314841775,Train
105,Cc1c(C(O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,5.8408187195117245,Train
106,O=C(NS(=O)(=O)c1ccccc1)c1cccc(C(=O)NS(=O)(=O)c2ccccc2)n1,5.431798275933005,Train
107,Cc1cc(F)ccc1C1=C(c2ccc(S(C)(=O)=O)cc2)CCC1,7.122462949120764,Train
108,Cc1c(CCOCCO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)c(F)c1,6.376750709602099,Train
109,Cc1ccc(-c2nn3ncccc3c2-c2ccc(S(C)(=O)=O)cc2)cc1,7.769551078621726,Train
110,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1Cl,7.769806696356897,Train
111,COc1ccc(-n2c(SCc3cn(-c4ccc(C(=O)O)cc4)nn3)nc3ccccc3c2=O)cc1,5.872895201635192,Train
112,CS(=O)(=O)c1ccc(-c2cnn(Cc3cccnc3)c(=O)c2-c2ccccc2)cc1,5.517399149487044,Train
113,Cc1cc(=O)c(Oc2ccc(C(=O)O)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,5.0,Train
114,CNc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,7.568636235841012,Train
115,CC(C(=O)[O-])c1ccc(CC2CCCC2=O)c(Br)c1,4.638272163982407,Train
116,Cc1c(NC(=O)C(c2ccc(-c3cncc(F)c3)cc2)C2CCCC2)cccc1C(C)CC(=O)O,7.379863945026242,Train
117,O=C1NC(=O)/C(=C/c2ccc(OCc3cn(Cc4ccccc4)nn3)cc2)S1,6.568636235841012,Train
118,Cc1c(COc2ccc(Cl)cc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.522878745280337,Train
119,CS(=O)(=O)Nc1ccncc1Nc1ccccc1Cl,5.027797161620935,Train
120,Cc1cc(C)c2c(OCCCC(=O)O)nsc2n1,3.5901238613863176,Train
121,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(F)c2)cc1,6.920402953422224,Train
122,CN(C)c1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,5.492424780623096,Train
123,Cc1cc(=O)c(Oc2ccc([N+](=O)[O-])cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,5.399013499022627,Train
124,CCc1cc(OC(F)(F)F)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2,7.221848749616356,Train
125,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2cccc(F)c2)cc1,5.111820506081675,Train
126,NS(=O)(=O)c1ccc(N2N=C3c4ccccc4OCC3C2c2ccc(Cl)cc2Cl)cc1,5.562249437179612,Train
127,Clc1nc(OCc2cn(Cc3ccccc3)nn2)nc(N2CCCC2)n1,5.301029995663981,Train
128,Cc1ncc(-c2ccc(C(C(=O)Nc3cc(F)cc(CCC(=O)O)c3C)C3CCCC3)cc2)cc1Cl,6.5951662833800615,Train
129,CC(=O)c1nnn(-c2ccc(Cl)cc2)c1C,6.920818753952375,Train
130,CC(=O)Oc1ccccc1SCCCCCC(=O)O,4.301029995663981,Train
131,[2H]C([2H])([2H])c1cc(Cl)c2c(c1)C=C(C(=O)O)C(C(F)(F)F)O2,7.200659450546418,Train
132,Cc1ccccc1Sc1cc2c(cc1NS(C)(=O)=O)CCC2=O,7.0,Train
133,COc1ccc(C2=NN(C(N)=O)C(c3cn(-c4ccccc4)nc3-c3ccc(Cl)cc3)C2)cc1,5.962573502059376,Train
134,Cc1ccc(-n2cc(COc3ccc(/C=C4\SC(=O)NC4=O)cc3)nn2)cc1,6.2839966563652006,Train
135,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(F)cc2F)cc1,8.154901959985743,Train
136,CCc1ccc(Nc2cnccc2NS(=O)(=O)C(F)(F)F)cc1,6.040958607678906,Train
137,COc1ccc(-n2c(SCc3cn(-c4ccc(Cl)cc4)nn3)nc3ccccc3c2=O)cc1,6.2839966563652006,Train
138,C[C@H]1C[C@H]1Cn1ncc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1=O,6.4604093769761874,Train
139,Cc1nnc(/N=C2\NC(=O)/C(=C/c3cccnc3)S2)s1,6.6020599913279625,Train
140,CS(=O)(=O)c1ccc(-c2nc(-c3ccccc3)sc2-c2ccc(F)cc2)cc1,6.267606240177031,Train
141,CC1(C)OC(=O)C(Oc2ccncc2)=C1c1ccc(S(C)(=O)=O)cc1,6.568636235841012,Train
142,Cc1c(CC(=O)NCCO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,6.522878745280337,Train
143,COCc1cncc(-c2ccc(C(C(=O)Nc3cccc(CCC(=O)O)c3C)C3CCCC3)cc2)c1,6.327902142064282,Train
144,COC(=O)C(N)Cc1ccc(Oc2nc(Cl)nc(Nc3ccc(N4CCOCC4=O)cc3)n2)cc1,6.221848749616356,Train
145,CCOP(=O)(OCC)C(C)NC(=O)c1cc(-c2ccc(Br)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1,6.552841968657781,Train
146,CN(C)c1ccc(/C=C2\CN(Cc3ccccc3)C/C(=C\c3ccc(N(C)C)cc3[N+](=O)[O-])C2=O)c([N+](=O)[O-])c1,4.7162466166674735,Train
147,Cc1cc(C(C(=O)Nc2cccc(CCC(=O)O)c2C)C2CCCC2)ccc1-c1cncc(Cl)c1,7.337242168318426,Train
148,Cn1ccc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,4.698970004336019,Train
149,CC1(C)OC(=O)C(Oc2ccc3[nH]ccc3c2)=C1c1ccc(S(C)(=O)=O)cc1,7.522878745280337,Train
150,COC(=O)CC1N(C(=O)Nc2ccccn2)C(=O)c2ccccc2S1(=O)=O,3.66334017654558,Train
151,Cc1c(CC(C)C(=O)O)cccc1NC(=O)C(c1ccc(-c2cncc(C(F)(F)F)c2)cc1)C1CCCC1,6.103615109323261,Train
152,COC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H](N)C(C)C,5.0,Train
153,CN(C)c1c(Cl)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,6.851941753915143,Train
154,CCCCCNC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,6.6020599913279625,Train
155,O=C1COCCN1c1ccc(Nc2nc(Cl)nc(NC3CCCCC3)n2)cc1,6.221848749616356,Train
156,Cc1nnc(/N=C2\NC(=O)/C(=C/c3ccsc3)S2)s1,6.6020599913279625,Train
