feature,pubchem_bit,permutation_importance_mean,permutation_importance_std
PubchemFP472,472,8.658197089442821e-05,0.0002238887658061063
PubchemFP129,129,8.587584515449276e-05,3.2948215018996684e-05
PubchemFP155,155,8.489130496494023e-05,2.259784230218084e-05
PubchemFP750,750,8.36137851431551e-05,8.998857223448711e-05
PubchemFP476,476,8.005527800736267e-05,0.00016978729736011035
PubchemFP705,705,7.928110977749592e-05,0.00010574681138213336
PubchemFP382,382,7.19666451501344e-05,0.00017228586499517604
PubchemFP718,718,7.161121767169653e-05,0.00017154424576162804
PubchemFP742,742,6.737427144738461e-05,1.073832106484375e-05
PubchemFP486,486,6.497725065941484e-05,4.5649383943223503e-05
PubchemFP652,652,6.298052699343915e-05,0.0004438293922304068
PubchemFP371,371,6.072195022631677e-05,2.265040156651806e-05
PubchemFP860,860,6.014780859934232e-05,2.0395330099108787e-05
PubchemFP690,690,5.99662602594031e-05,7.21544388732399e-05
PubchemFP739,739,5.7961190294619766e-05,3.704246724599056e-05
PubchemFP791,791,5.790396349500959e-05,2.2839130651871808e-05
PubchemFP347,347,5.649733228720866e-05,1.2234941532749557e-05
PubchemFP695,695,5.4449268395351245e-05,0.0001632711446408427
PubchemFP545,545,5.343717490156052e-05,0.00020761060778161058
PubchemFP30,30,5.3313452460357344e-05,3.1111176734110075e-05
PubchemFP546,546,5.307704832160365e-05,0.0003785388091822748
PubchemFP762,762,5.290348561077795e-05,1.5370023514703243e-05
PubchemFP756,756,5.144066194359143e-05,0.0004215272319943777
PubchemFP704,704,5.064949329600665e-05,0.0008520381152919414
PubchemFP328,328,4.780125414434177e-05,0.00013278223384694286
PubchemFP625,625,4.70582653781193e-05,0.00013016686617243103
PubchemFP824,824,4.590482404123186e-05,3.830887295557909e-05
PubchemFP580,580,4.4820569352810315e-05,0.0003159789890699855
PubchemFP595,595,4.457127392198945e-05,1.3667467001335722e-05
PubchemFP451,451,4.236156602622776e-05,0.0004841456754649569
PubchemFP380,380,4.108086200032002e-05,0.00048000628959554324
PubchemFP582,582,4.017843025724277e-05,1.563226971720095e-05
PubchemFP423,423,3.7002373198757876e-05,8.989706155308206e-05
PubchemFP727,727,3.53750577568257e-05,5.572860377287374e-05
PubchemFP684,684,3.476266445262555e-05,0.00021555780300758256
PubchemFP730,730,3.378820226564994e-05,3.484438109716675e-05
PubchemFP17,17,3.365455768012948e-05,1.9578416502994957e-05
PubchemFP199,199,3.363218852238114e-05,0.0003191451282300393
PubchemFP517,517,3.304563540738048e-05,8.135470945495813e-05
PubchemFP185,185,3.297960724621962e-05,0.0002664603813854548
PubchemFP728,728,3.2829167182668595e-05,1.8054151500909552e-05
PubchemFP640,640,3.100287825812398e-05,4.021036250869287e-05
PubchemFP757,757,3.0729181248856374e-05,0.0011659383604101208
PubchemFP723,723,2.9938972422838274e-05,3.339992294446423e-05
PubchemFP701,701,2.9322717532187514e-05,4.6220642580930775e-05
PubchemFP755,755,2.929340540328562e-05,0.0005001971365872571
PubchemFP568,568,2.7030299276087355e-05,7.968416268204644e-05
PubchemFP376,376,2.5974628376157493e-05,0.0001256149034157959
PubchemFP470,470,2.4211578965060988e-05,7.325940730151018e-06
PubchemFP584,584,2.2162604800146646e-05,9.217468979759676e-06
PubchemFP206,206,2.1079518890232406e-05,4.8525395719816596e-05
PubchemFP547,547,2.101161949101815e-05,5.522551898901645e-05
PubchemFP557,557,2.0961374863170956e-05,2.8203927344110946e-05
PubchemFP653,653,2.0095199118408404e-05,3.290621540607015e-05
PubchemFP473,473,1.8393534690941403e-05,0.0002656117693413477
PubchemFP599,599,1.768276711865413e-05,9.529639771814446e-06
PubchemFP628,628,1.5187827993490278e-05,0.00017020910589399593
PubchemFP18,18,1.516185939429704e-05,5.771407044020129e-05
PubchemFP256,256,1.505396652444757e-05,0.0008641129396317103
PubchemFP570,570,1.4776665728155613e-05,9.37146506431477e-06
PubchemFP337,337,1.4461973288448782e-05,0.0002115827100150111
PubchemFP355,355,1.3677667110079117e-05,2.567546932754818e-06
PubchemFP669,669,1.2725973395655288e-05,3.066593858451066e-05
PubchemFP679,679,1.15352549295622e-05,8.892911682011798e-05
PubchemFP46,46,9.778360225287664e-06,5.608478718843054e-05
PubchemFP767,767,8.077606018996874e-06,2.466429106135842e-05
PubchemFP488,488,7.732961256468051e-06,2.0481040391496713e-05
PubchemFP760,760,7.29705082770371e-06,9.864515148779283e-06
PubchemFP413,413,5.05087734813392e-06,3.0076261603764734e-05
PubchemFP370,370,4.51026372525476e-06,2.1646357111653663e-05
PubchemFP706,706,3.4089064016473715e-06,7.80816453339821e-06
PubchemFP497,497,2.6703288182328144e-06,4.7126984083524144e-05
PubchemFP535,535,1.6807792149409196e-06,0.0004695864243720538
PubchemFP726,726,8.64899385943918e-07,4.891625724334032e-06
PubchemFP157,157,1.8247509483426683e-07,4.151343980443473e-06
PubchemFP47,47,8.881784197001253e-17,1.0877919644084148e-16
PubchemFP743,743,8.881784197001253e-17,1.0877919644084146e-16
PubchemFP731,731,8.881784197001253e-17,1.0877919644084148e-16
PubchemFP39,39,6.661338147750939e-17,1.0175362097255201e-16
PubchemFP863,863,6.661338147750939e-17,1.0175362097255201e-16
PubchemFP6,6,6.661338147750939e-17,1.0175362097255201e-16
PubchemFP753,753,6.661338147750939e-17,1.0175362097255204e-16
PubchemFP207,207,6.661338147750939e-17,1.0175362097255204e-16
PubchemFP481,481,6.661338147750939e-17,1.4217791915866693e-16
PubchemFP770,770,4.4408920985006264e-17,8.881784197001254e-17
PubchemFP751,751,4.4408920985006264e-17,8.881784197001254e-17
PubchemFP11,11,4.4408920985006264e-17,8.881784197001254e-17
PubchemFP336,336,4.4408920985006264e-17,8.881784197001254e-17
PubchemFP159,159,4.4408920985006264e-17,8.881784197001254e-17
PubchemFP458,458,4.4408920985006264e-17,8.881784197001254e-17
PubchemFP428,428,4.4408920985006264e-17,8.881784197001254e-17
PubchemFP720,720,4.4408920985006264e-17,8.881784197001254e-17
PubchemFP416,416,4.4408920985006264e-17,8.881784197001254e-17
PubchemFP122,122,2.2204460492503132e-17,6.66133814775094e-17
PubchemFP840,840,2.2204460492503132e-17,6.66133814775094e-17
PubchemFP213,213,2.2204460492503132e-17,6.66133814775094e-17
PubchemFP183,183,2.2204460492503132e-17,6.66133814775094e-17
PubchemFP164,164,2.2204460492503132e-17,6.66133814775094e-17
