feature,pubchem_bit,mean_abs_SHAP,permutation_importance_mean,permutation_importance_std,definition
PubchemFP150,150,0.004570140541800264,0.0006542132924374333,0.000280958734597166,>= 2 any ring size 5
PubchemFP586,586,0.004471294152991971,0.0012561791872232719,0.0007564108212370245,C-S-C-C-C
PubchemFP145,145,0.0044555409553141655,-0.0005198540897457526,0.0010661615333118998,>= 1 saturated or aromatic nitrogen-containing ring size 5
PubchemFP697,697,0.0044318899139660865,-0.0020100554963395356,0.0015583101440365611,C-C-C-C-C-C(C)-C
PubchemFP378,378,0.00440636031109133,-0.000673312732793574,0.00027901165431018304,C(~N)(:C)(:N)
PubchemFP623,623,0.004322996945395503,0.00032419227210876976,0.001002970317191665,O=C-C:C-C
PubchemFP704,704,0.004314791517797057,5.064949329600665e-05,0.0008520381152919414,O=C-C-C-C-C-C-C
PubchemFP535,535,0.004242260880681077,1.6807792149409196e-06,0.0004695864243720538,O=C-C-C
PubchemFP393,393,0.004234475650689017,0.0015083762871162976,0.0006620079745501962,N(~C)(~H)
PubchemFP256,256,0.004234348731791895,1.505396652444757e-05,0.0008641129396317103,>= 1 hetero-aromatic ring
PubchemFP521,521,0.004229141247285531,0.00011762924542914055,0.0005458288416076302,C:N-C-[#1]
PubchemFP622,622,0.004174820194901958,0.0014602201058425911,0.0007967470513730864,O=C-O-C:C
PubchemFP717,717,0.004156297484268978,-0.00039893169957728737,0.0012839318818001443,Cc1ccc(Cl)cc1
PubchemFP467,467,0.004051150129182943,-0.0004026701426632862,0.0003541660907505513,C=N-N-C
PubchemFP602,602,0.003978160534832855,-3.686024234345053e-05,0.00041341962602317416,O=C-C-N-C
PubchemFP391,391,0.003969782377117664,0.0004419375915847068,0.0011493145914600392,N(~C)(~C)(~C)
PubchemFP758,758,0.00396758084404686,0.002772554001948668,0.0013523635963005177,Cc1c(N)cccc1
PubchemFP734,734,0.003954204714974755,-0.00037186556239068305,0.0014862568182936373,Cc1cc(C)ccc1
PubchemFP480,480,0.003898439997503224,0.0012774786276702477,0.0004404646798429931,C:S:C-C
PubchemFP437,437,0.003843333270804045,-2.2010323697840838e-05,0.0008137783498556558,C(-C)(-N)(=C)
PubchemFP632,632,0.0037967249048625473,-0.0031124365916474052,0.0017445332643369071,C-C-O-C:C
PubchemFP553,553,0.0037820007749769157,0.0018679613415544915,0.0015550479914418,O=C-C=C
PubchemFP501,501,0.0036324012612116603,-0.0001724336776657842,0.000374932010997386,Cl-C:C-C
PubchemFP368,368,0.003629014605463318,-0.00029012580911490503,0.0008148134235086126,C(~H)(~S)
PubchemFP496,496,0.0035389681253687635,0.0009864144669719742,0.0008066471495249911,N:N-C-[#1]
PubchemFP776,776,0.0035179025188701663,-0.0036177595360616264,0.0008149201634668195,CC1CCC(C)CC1
PubchemFP366,366,0.0035103706317500755,0.0005922049664007667,0.0007700914101128615,C(~H)(~O)
PubchemFP414,414,0.0034965944085927816,0.0006090943271872318,0.0004267038041874915,S(~C)(~O)
PubchemFP349,349,0.003484106040474632,0.005925034023504039,0.0015711741304244664,C(~C)(~H)(~S)
