feature,pubchem_bit,mean_abs_SHAP
PubchemFP378,378,0.00440636031109133
PubchemFP623,623,0.004322996945395503
PubchemFP704,704,0.004314791517797057
PubchemFP535,535,0.004242260880681077
PubchemFP393,393,0.004234475650689017
PubchemFP256,256,0.004234348731791895
PubchemFP521,521,0.004229141247285531
PubchemFP622,622,0.004174820194901958
PubchemFP717,717,0.004156297484268978
PubchemFP467,467,0.004051150129182943
PubchemFP602,602,0.003978160534832855
PubchemFP391,391,0.003969782377117664
PubchemFP758,758,0.00396758084404686
PubchemFP734,734,0.003954204714974755
PubchemFP480,480,0.003898439997503224
PubchemFP437,437,0.003843333270804045
PubchemFP632,632,0.0037967249048625473
PubchemFP553,553,0.0037820007749769157
PubchemFP501,501,0.0036324012612116603
PubchemFP368,368,0.003629014605463318
PubchemFP496,496,0.0035389681253687635
PubchemFP776,776,0.0035179025188701663
PubchemFP366,366,0.0035103706317500755
PubchemFP414,414,0.0034965944085927816
PubchemFP349,349,0.003484106040474632
PubchemFP620,620,0.0034721901051954986
PubchemFP3,3,0.003443390821208252
PubchemFP550,550,0.003392986326436431
PubchemFP436,436,0.003382712356679522
PubchemFP342,342,0.0033747857672562637
PubchemFP445,445,0.0033366250430107323
PubchemFP698,698,0.00329812413810235
PubchemFP431,431,0.003286548289035877
PubchemFP518,518,0.0032741198696461305
PubchemFP672,672,0.0032263802635488815
PubchemFP12,12,0.003210820695758649
PubchemFP389,389,0.0031937105535023457
PubchemFP821,821,0.003191790993478292
PubchemFP536,536,0.0031744559885640727
PubchemFP631,631,0.003125552037359472
PubchemFP636,636,0.0031248056188312567
PubchemFP645,645,0.003088065922655985
PubchemFP421,421,0.0030338889978476866
PubchemFP362,362,0.0030319647904762663
PubchemFP199,199,0.003011978930274239
PubchemFP655,655,0.0029976481779778563
PubchemFP19,19,0.002946238054168575
PubchemFP465,465,0.002939639858060711
PubchemFP759,759,0.002833719874993796
PubchemFP619,619,0.0028169408480805845
PubchemFP148,148,0.0028090606126621944
PubchemFP30,30,0.0028068585485256712
PubchemFP713,713,0.0027452835986057677
PubchemFP388,388,0.002743600837121448
PubchemFP684,684,0.002737614084540065
PubchemFP38,38,0.002686067110128325
PubchemFP406,406,0.0026665057678180097
PubchemFP611,611,0.002651597015256109
PubchemFP671,671,0.0026455183819992885
PubchemFP545,545,0.002628576442939347
PubchemFP591,591,0.0026036580566830103
PubchemFP25,25,0.0025922364884327018
PubchemFP579,579,0.0025555407299110893
PubchemFP725,725,0.002533299841489527
PubchemFP590,590,0.0025301458055066333
PubchemFP341,341,0.002524616941825517
PubchemFP533,533,0.002466281469818885
PubchemFP542,542,0.0024226828793792836
PubchemFP372,372,0.0024210791127777013
PubchemFP737,737,0.002403333253651092
PubchemFP797,797,0.0024004290721338544
PubchemFP258,258,0.002400324031022197
PubchemFP592,592,0.0023406300319677342
PubchemFP692,692,0.0023098545706023432
PubchemFP659,659,0.0022535359916855927
PubchemFP149,149,0.002187881746747032
